,SO,RH_MMS,RH_rsFC,RH_MMS_o,RH_rsFC_o,Subject_left,Subject_right
0,-1.7900486848067088,-0.26158456545420844,0.5376468130659825,-0.0063533592635049985,-0.14928667046344501,1,2
1,-0.5264849072960903,-0.7486110688564174,0.4463337752497127,-0.008352224521843588,-0.16281666952099394,1,3
2,-1.368860758969836,-0.21753150019536593,0.06062598315190771,-0.006172555670570956,-0.21996761081453553,1,4
3,-0.21059396291843585,0.37553543827409175,0.27218239908692055,-0.0037384768455078765,-0.1886209578428265,1,5
4,-2.105939629184363,-1.0592594323782534,-0.0810978139424116,-0.009627194604715505,-0.24096705281072262,1,6
5,-1.368860758969836,0.9636804272800673,-0.19599278707544285,-0.0013245987974397355,-0.25799122499229954,1,7
6,-1.368860758969836,0.3829359548583452,0.016563502696693728,-0.0037081034769320675,-0.22649641911277496,1,8
7,-0.5264849072960903,0.309443660798629,0.18426209629267593,-0.004009732222647888,-0.20164824991845598,1,9
8,2.805675197749253e-16,-1.6624894829680896,0.3459211975369511,-0.012102985105821085,-0.17769496197856516,1,10
9,-1.7900486848067088,-0.7199208786168241,0.42294319748935727,-0.008234473590170599,-0.16628248888941655,1,11
10,2.805675197749253e-16,-0.23231269131882937,0.553445761300099,-0.006233220971549769,-0.14694571500045883,1,12
11,-1.105618305321791,0.7390745733208477,-2.0494221900907834,-0.0022464312545283915,-0.5326168280358434,1,13
12,-0.21059396291843585,-1.7278805386857359,0.662160101616702,-0.01237136456477661,-0.13083733708201428,1,14
13,-0.8950243424033543,0.3907684202418912,0.11773983887727044,-0.003675957294264509,-0.21150495933981417,1,15
14,-1.7900486848067088,0.7063338071755942,0.35463059768055205,-0.0023808066520107918,-0.1764044762105652,1,16
15,-1.368860758969836,0.7262327657382258,0.3800188907914914,-0.002299136893445075,-0.17264265215916363,1,17
16,-0.8950243424033543,1.0163684976230252,-0.15996255547223642,-0.0011083552201359703,-0.2526525678706788,1,18
17,-1.7900486848067088,0.005062029019961438,-0.8092524475878142,-0.005258982242489885,-0.34885889106929824,1,19
18,-0.8950243424033543,0.21497555762657675,0.3768179406337908,-0.004397450361460997,-0.17311694207057904,1,20
19,-0.5264849072960903,-1.3459402293276375,-0.05844025050194351,-0.010803796455440051,-0.23760984534805218,1,21
20,0.1579454721888275,0.8514863063170871,0.16959813985603764,-0.0017850684618545554,-0.20382103182903988,1,22
21,-2.2638851013731904,-1.1095895151224853,0.3934905431414424,-0.009833760475656761,-0.17064653585466383,1,23
22,-0.5264849072960903,1.0240141990574432,-1.3832174499721466,-0.001076975558318538,-0.43390420471828095,1,24
23,-0.21059396291843585,0.923880985710184,0.7738406977605886,-0.0014879445712314698,-0.11428944428697185,2,3
24,-1.0529698145921815,0.6139356069585122,0.36171279387227817,-0.0027600294480121246,-0.1753550958581972,2,4
25,0.10529698145921806,0.7632802617808448,0.6055804944831553,-0.002147085717111308,-0.13922082808724923,2,5
26,-1.7900486848067088,-1.3286814765296613,0.8646936880017208,-0.010732962689455783,-0.10082761121542994,2,6
27,-1.0529698145921815,0.6891062459679396,0.6502670496234748,-0.0024515124007602473,-0.1325995496434178,2,7
28,-1.0529698145921815,1.1272101117928914,0.10725531292102715,-0.0006534365448799262,-0.21305846834246334,2,8
29,-0.21059396291843585,1.0162292728871143,0.46902552252126345,-0.0011089266294653788,-0.15945439698532415,2,9
30,0.31589094437765475,-0.21037008446804817,0.5891966679021338,-0.006143163625173309,-0.1416484459116205,2,10
31,-1.4741577404290542,1.034137789528271,0.9271443883544269,-0.001035426087929503,-0.09157419092493957,2,11
32,0.31589094437765475,1.0838436327409688,0.8605454371882282,-0.0008314222350791489,-0.10144226418218327,2,12
33,-0.7897273609441364,0.6316468664564994,-1.7604538257719111,-0.00268733849373215,-0.4897999226913673,2,13
34,0.10529698145921806,0.8949511837667121,0.8287301922606715,-0.001606678922712268,-0.10615637997747263,2,14
35,-0.5791333980256997,0.7686316683552162,0.8864550749219872,-0.0021251223524688667,-0.0976031916630481,2,15
36,-1.4741577404290542,0.7608740314467185,0.434104165931998,-0.0021569614224062894,-0.1646287503201872,2,16
37,-1.0529698145921815,0.5106301155420615,0.6610180679854382,-0.0031840181967669468,-0.13100655403420658,2,17
38,-0.5791333980256997,-0.11912289358277035,0.6200729385564173,-0.005768664827864645,-0.137073459438236,2,18
39,-1.4741577404290542,0.7696673734091185,-0.772745286551479,-0.002120871588217499,-0.34344956654973446,2,19
40,-0.5791333980256997,0.09440797499110737,0.6581307557339559,-0.004892286577823701,-0.13143437171474426,2,20
41,-0.21059396291843585,0.8985740424958375,0.5223775564706661,-0.0015918099034721855,-0.15154914066797143,2,21
42,0.473836416566482,-0.3309455507137653,-0.053807659325759184,-0.006638032197628596,-0.23692342689405332,2,22
43,-1.9479941569955361,-2.0487527665671736,0.9686340297724467,-0.013688295664413763,-0.08542660430742555,2,23
44,-0.21059396291843585,0.34872761599250723,-1.2587871358545917,-0.00384850211977128,-0.41546716579150167,2,24
45,0.2105939629184364,0.709024393132809,0.6109144563157798,-0.002369763887896559,-0.13843048641979072,3,4
46,1.368860758969836,0.1084377822539145,0.8720978868911909,-0.004834705123584748,-0.09973051920762699,3,5
47,-0.5264849072960903,-2.6248827398584638,0.7323888630783447,-0.01605286141156459,-0.12043142901989579,3,6
48,0.2105939629184364,0.39643753416831706,0.9974838106101377,-0.003652689987877822,-0.08115188607573287,3,7
49,0.2105939629184364,0.8153998766040249,0.06653873629835838,-0.0019331752078879383,-0.21909150871113203,3,8
50,1.0529698145921815,0.6999377168934565,0.3855899032070919,-0.0024070576313001135,-0.17181718632717224,3,9
51,1.5794547218882726,-0.8514331107332227,1.1840582301698783,-0.008774229085996121,-0.05350685551738854,3,10
52,-0.21059396291843585,0.9980800641520705,1.108377236322754,-0.0011834150249703246,-0.0647206295842011,3,11
53,1.5794547218882726,0.9629792325147625,1.1104501701635505,-0.00132747665695232,-0.06441347965705957,3,12
54,0.473836416566482,0.11623599805034412,-2.5593901022644348,-0.0048026995088520374,-0.6081795903324265,3,13
55,1.368860758969836,0.5744985316681961,0.9024758280330026,-0.0029218879898730288,-0.09522937101621554,3,14
56,0.6844303794849181,0.15671295640895613,1.012575841325318,-0.0046365730552380136,-0.07891567571370606,3,15
57,-0.21059396291843585,0.25687951389933966,0.6245026117227427,-0.004225467190534071,-0.13641710767074555,3,16
58,0.2105939629184364,0.06497358082532809,0.5972248189387387,-0.005013091888186105,-0.14045890191487298,3,17
59,0.6844303794849181,-0.504259433538572,0.761206843045065,-0.007349350979555691,-0.11616142277418617,3,18
60,-0.21059396291843585,0.6114040197719329,-1.2116891570485802,-0.002770419645753641,-0.4084885828410585,3,19
61,0.6844303794849181,-0.5876125540006066,1.1814941128451268,-0.007691450753390949,-0.053886784888012906,3,20
62,1.0529698145921815,0.1816185954721398,0.7924348155638391,-0.0045343547646268245,-0.1115343240722646,3,21
63,1.7374001940771,-1.024743308107004,0.11177591252661385,-0.009485532742011249,-0.21238864385884237,3,22
64,-0.6844303794849176,-3.721015969689714,1.1746787938918035,-0.02055163635772128,-0.05489662161254394,3,23
65,1.0529698145921815,-0.3696060134732904,-1.4608627181602076,-0.006796703348667554,-0.4454090284601149,3,24
66,0.5264849072960909,0.5019759060147624,0.5223810420295463,-0.003219537000449413,-0.15154862420712978,4,5
67,-1.368860758969836,-2.6689830092230498,0.42122470462509404,-0.01623385874066363,-0.16653712072940274,4,6
68,-0.6317818887553093,0.6397818162035275,0.41374640903830484,-0.0026539508478564677,-0.16764519176351855,4,7
69,-0.6317818887553093,0.8104099187412178,-0.2134504312625798,-0.001953655106503027,-0.2605779520911641,4,8
70,0.2105939629184364,0.693857720355695,-0.06922960670675828,-0.002432011291450542,-0.23920852153683947,4,9
71,0.737078870214527,-0.43991007742134464,0.6248181186917431,-0.007085246887805763,-0.13637035849784196,4,10
72,-1.0529698145921815,0.3689293082568504,0.6367308094203452,-0.0037655898746578043,-0.1346052360335651,4,11
73,0.737078870214527,0.9934623066397337,0.6375166902546556,-0.001202367330436993,-0.1344887908117014,4,12
74,-0.3685394351072631,0.26609712474387637,-2.3879807772115083,-0.004187636062344291,-0.5827815961151322,4,13
75,0.5264849072960909,0.21935177170348033,0.6763882474821125,-0.004379489404058745,-0.12872912992175078,4,14
76,-0.1579454721888275,0.059180055317963436,0.2951072924671785,-0.005036869807414468,-0.18522413967482954,4,15
77,-1.0529698145921815,0.5123635960068176,0.17766378508981617,-0.003176903606795345,-0.2026259322570475,4,16
78,-0.6317818887553093,0.205224591934213,0.19114709846119307,-0.004437470496754581,-0.20062808812032706,4,17
79,-0.1579454721888275,-0.007523429760382446,0.5676554269741745,-0.005310635768818628,-0.14484024607974277,4,18
80,-1.0529698145921815,0.7599662016334117,-0.9705424742156599,-0.002160687358185198,-0.3727574926321735,4,19
81,-0.1579454721888275,0.09763996222434533,0.6578461628334836,-0.004879021782271953,-0.13147654030060296,4,20
82,0.2105939629184364,-0.02952036990436073,0.6881821930087378,-0.005400916111133469,-0.1269816021242297,4,21
83,0.8950243424033543,-0.5274590185112631,0.043139597444356255,-0.007444567244144662,-0.22255859659051147,4,22
84,-1.5268062311586632,-2.496830165266151,0.7040275043382344,-0.01552730512087952,-0.12463377696714728,4,23
85,0.2105939629184364,0.15493799827601185,-0.9763839436513797,-0.004643857878799285,-0.3736230325139921,4,24
86,-0.21059396291843585,-0.9370258342670692,0.40537966612295845,-0.009125520689724498,-0.16888490546121815,5,6
87,0.5264849072960909,0.7900932831945005,0.3687607432129111,-0.0020370391044517433,-0.17431078991660443,5,7
88,0.5264849072960909,0.9801551576743495,0.0032954968311329183,-0.001256982834046405,-0.22846236079152837,5,8
89,1.368860758969836,0.778596287615632,0.08348502586239921,-0.0020842253353392515,-0.21658054984574238,5,9
90,1.8953456662659272,-0.03683187476248659,0.9240013969181354,-0.0054309241557573,-0.09203989299977877,5,10
91,0.10529698145921806,0.24460354557346586,0.6809882084206699,-0.004275850499096623,-0.12804754634232074,5,11
92,1.8953456662659272,0.7974024053697094,0.894465397973124,-0.0020070408388893624,-0.09641628926746015,5,12
93,0.7897273609441364,0.6911374471894541,-2.6819983605437936,-0.0024431758984836405,-0.6263466523275085,5,13
94,1.6847517033474904,0.24339242468862454,0.3753956303858003,-0.004280821208993202,-0.17332768805795462,5,14
95,1.0003213238625726,0.7484943742879471,0.46445489074447155,-0.0022077702930364262,-0.16013163481588266,5,15
96,0.10529698145921806,0.9992714896128557,0.668753787738213,-0.0011785251494813576,-0.1298603400491336,5,16
97,0.5264849072960909,0.7355119079252621,0.3973934225463705,-0.002261053226919163,-0.1700682399624972,5,17
98,1.0003213238625726,0.5362269563272061,0.6662852832843335,-0.003078963060319073,-0.13022610230755005,5,18
99,0.10529698145921806,0.6660645806890538,-1.5607002768810248,-0.0025460805277481846,-0.46020211943271594,5,19
100,1.0003213238625726,0.7284614197690705,0.9730347980283771,-0.0022899900008550578,-0.08477453542680158,5,20
101,1.368860758969836,0.44629358540571085,0.4849837144463583,-0.0034480696478342843,-0.15708984612960564,5,21
102,2.0532911384547545,0.38808147979781277,-0.03562047006395385,-0.003686985096380768,-0.23422860193305695,5,22
103,-0.3685394351072631,-0.6280021245989071,0.8460918234079715,-0.007857218548170453,-0.10358387928449242,5,23
104,1.368860758969836,0.9103125748307139,-2.0232042287290577,-0.00154363235193411,-0.5287320707109503,5,24
105,-1.368860758969836,-0.9792703154869892,1.0124008865020364,-0.009298901450888741,-0.07894159905007425,6,7
106,-1.368860758969836,-1.1343429413192219,0.028807077492557724,-0.009935354050757628,-0.2246822690263176,6,8
107,-0.5264849072960903,-0.6452101325080913,0.585900089880462,-0.007927844045827359,-0.14213690515679533,6,9
108,2.805675197749253e-16,-3.711472104473924,0.5101341908476389,-0.020512466208916558,-0.15336325976095455,6,10
109,-1.7900486848067088,-2.125719310703243,0.685825551727692,-0.014004183506355128,-0.12733078943717058,6,11
110,2.805675197749253e-16,-2.1296374927805393,0.6919328060654905,-0.014020264598401333,-0.1264258677807376,6,12
111,-1.105618305321791,-0.8700352477550772,-1.5406711633954049,-0.00885057640008291,-0.4572343736095046,6,13
112,-0.21059396291843585,-2.3012383710223263,0.6074751089366233,-0.01472455282793661,-0.13894010002931934,6,14
113,-0.8950243424033543,-0.7799246886181007,0.7708529213235676,-0.008480742592661517,-0.11473214790678132,6,15
114,-1.7900486848067088,-0.4561872129502856,0.29410681463347677,-0.007152051877856169,-0.1853723820777854,6,16
115,-1.368860758969836,-1.214548469828938,0.319028200615978,-0.010264535406073638,-0.1816797404033894,6,17
116,-0.8950243424033543,-1.6047009860808197,1.053379380353633,-0.011865808241825704,-0.07286974998611628,6,18
117,-1.7900486848067088,-2.214372654103684,-0.6769956753765557,-0.014368036575789334,-0.3292621933121467,6,19
118,-0.8950243424033543,-1.4929592230094582,0.5518830983205937,-0.0114071951549638,-0.14717725727684783,6,20
119,-0.5264849072960903,-2.191050030142694,0.4618998512403733,-0.014272315331784635,-0.16051021911128205,6,21
120,0.1579454721888275,-0.29571870170961867,-0.26958636878389375,-0.006493453362301893,-0.2688957038593861,6,22
121,-2.2638851013731904,-0.176425817004562,0.8639405369810703,-0.0060038487901930004,-0.10093920680838453,6,23
122,-0.5264849072960903,-0.9395413756342629,-1.9704088472255228,-0.009135845031848944,-0.5209092944780201,6,24
123,-0.6317818887553093,1.0288855809317277,-0.055252223296459374,-0.0010569823219739316,-0.23713747025116372,7,8
124,0.2105939629184364,0.979525117189858,0.4564356045658655,-0.0012595686605404444,-0.16131986529242281,7,9
125,0.737078870214527,-0.6868742056267874,0.6333060127856167,-0.008098842682854435,-0.13511269363598777,7,10
126,-1.0529698145921815,0.4794581543261236,0.9417559823353835,-0.0033119548693577583,-0.08940916764327622,7,11
127,0.737078870214527,0.7204066812837618,0.7478445667550057,-0.0023230484418450548,-0.11814133265271831,7,12
128,-0.3685394351072631,0.9742698223818577,-2.3661312114225366,-0.0012811375610841669,-0.5795441109585496,7,13
129,0.5264849072960909,-0.2327779927869662,0.5949671057936798,-0.006235130672423983,-0.1407934308874642,7,14
130,-0.1579454721888275,0.8280203739155807,0.8520043860382213,-0.0018813778756220367,-0.10270780541017954,7,15
131,-1.0529698145921815,0.9621240882365392,0.044207258985480634,-0.0013309863595591942,-0.22240039947002732,7,16
132,-0.6317818887553093,0.8949950288998769,0.050123615520686726,-0.001606498972518966,-0.22152376344674085,7,17
133,-0.1579454721888275,0.8392306414230137,0.7536581494778983,-0.0018353684406102744,-0.11727992478980187,7,18
134,-1.0529698145921815,0.8197007943326241,-0.8751144123287353,-0.0019155232834718872,-0.3586177638675725,7,19
135,-0.1579454721888275,0.539117995226801,0.7035342976024582,-0.0030670975926770927,-0.12470685619909283,7,20
136,0.2105939629184364,-0.2060996362094395,0.7019005973531863,-0.006125636754249375,-0.12494892418151438,7,21
137,0.8950243424033543,0.5436984325622912,-0.06019337894426071,-0.003048298457529519,-0.23786960919710998,7,22
138,-1.5268062311586632,-1.4292403621913643,0.9129860526906425,-0.011145678756368516,-0.09367205419582214,7,23
139,0.2105939629184364,0.9763957571986979,-1.5403981016897006,-0.0012724122510298086,-0.45719391361924266,7,24
140,0.2105939629184364,1.038565931886197,-0.2488780348470222,-0.0010172520052945666,-0.265827316854093,8,9
141,0.737078870214527,-0.17492195517353312,-0.15127636781444953,-0.005997676606243285,-0.25136552153387837,8,10
142,-1.0529698145921815,0.8506689094612834,-0.18303822682897297,-0.0017884232406313316,-0.25607172705293224,8,11
143,0.737078870214527,1.1292561079909225,-0.00727544617551678,-0.0006450393207240168,-0.2300286743469393,8,12
144,-0.3685394351072631,0.8630844816084329,-1.7197433506921957,-0.00173746696688859,-0.48376778639809004,8,13
145,0.5264849072960909,0.49544498492194117,-0.08797175434876756,-0.0032463413554202347,-0.2419855755698359,8,14
146,-0.1579454721888275,0.8817995364282127,0.14762599411531854,-0.0016606562130059288,-0.2070766798533934,8,15
147,-1.0529698145921815,1.0222999034033025,0.12448496627584993,-0.0010840114095538311,-0.2105055230103663,8,16
148,-0.6317818887553093,0.8010842671617067,0.010463479113886152,-0.0019919296579359314,-0.22740026937666036,8,17
149,-0.1579454721888275,0.4825762576745594,0.16836086252783744,-0.0032991574786376265,-0.20400436119234677,8,18
150,-1.0529698145921815,0.9658260124671825,-0.9996502842216942,-0.0013157928378885186,-0.37707044345899166,8,19
151,-0.1579454721888275,0.431931115336707,-0.2643604182297009,-0.0035070164243327095,-0.26812136639604056,8,20
152,0.2105939629184364,0.5592403698431233,-0.7958766892772907,-0.002984510884859626,-0.3468769835382015,8,21
153,0.8950243424033543,0.1673382604869331,0.2470777994644931,-0.004592964440445213,-0.19234074657568,8,22
154,-1.5268062311586632,-1.654544956371519,0.3509610817863694,-0.012070378998972897,-0.17694819425759645,8,23
155,0.2105939629184364,0.729342918431185,-1.1403528168459747,-0.002286372133986081,-0.39791856306302553,8,24
156,1.5794547218882726,-0.97285584886313,0.11695690116747737,-0.009272575050999543,-0.21162096847420453,9,10
157,-0.21059396291843585,0.7125976459354634,0.3726157521745997,-0.002355098462428762,-0.1737395870646805,9,11
158,1.5794547218882726,0.8507646511083146,0.6983757964056819,-0.0017880302955848304,-0.12547119958312503,9,12
159,0.473836416566482,0.7218845521348367,-1.6126067399315795,-0.0023169829306667333,-0.467893183194802,9,13
160,1.368860758969836,0.4487714330899642,0.41850989774290254,-0.003437900008981143,-0.166939378013093,9,14
161,0.6844303794849181,0.895404669277542,0.21721752739459582,-0.001604817717158924,-0.19676519091162215,9,15
162,-0.21059396291843585,1.0033595399719555,0.37253378811053156,-0.001161746880167347,-0.17375173181132475,9,16
163,0.2105939629184364,0.776110114956825,-0.3729590035080795,-0.0020944291417424044,-0.2842125927050815,9,17
164,0.6844303794849181,0.30105967351464213,0.38408229601547,-0.004044141974050008,-0.1720405708992948,9,18
165,-0.21059396291843585,0.7228354281404731,-0.7354247794721788,-0.0023130803237256803,-0.33791972724435315,9,19
166,0.6844303794849181,0.43853808831587543,0.0333065395304429,-0.003479899935479258,-0.2240155765299563,9,20
167,1.0529698145921815,0.39082368285025787,-0.2618830004230296,-0.0036757304842096605,-0.2677542834318656,9,21
168,1.7374001940771,0.2222272790876372,0.09938349692487249,-0.0043676876812158705,-0.2142248479258857,9,22
169,-0.6844303794849176,-1.3954301426301916,0.447968739903677,-0.011006914083839359,-0.1625744141897041,9,23
170,1.0529698145921815,0.6512576498094925,-1.8327857140878223,-0.0026068514704197243,-0.5005174544277897,9,24
171,0.31589094437765475,-0.6780668294717573,1.0246009973299923,-0.008062695249212881,-0.07713388908935248,10,11
172,2.105939629184363,-0.001696113459708765,1.1104178294649554,-0.005286719164647402,-0.06441827163016633,10,12
173,1.0003213238625726,-0.41026093817239667,-3.2181875729110456,-0.0069635602157861465,-0.7057946666690511,10,13
174,1.8953456662659272,-0.08293893937674429,0.8483652703303834,-0.005620157819587912,-0.103247019012912,10,14
175,1.2109152867810087,-0.9234803052071058,0.7186229285830644,-0.009069926821106189,-0.12247114958118277,10,15
176,0.31589094437765475,-0.8679714404559691,0.2804485415393103,-0.00884210607520064,-0.18739615027684198,10,16
177,0.737078870214527,-1.2111048914168665,0.7336007330718329,-0.010250402193190622,-0.1202518643020648,10,17
178,1.2109152867810087,-1.426302041720442,0.7337835920965352,-0.011133619234625525,-0.12022476978751295,10,18
179,0.31589094437765475,-0.30495103900611853,-1.569666728177991,-0.006531344931130945,-0.4615306928817957,10,19
180,1.2109152867810087,-0.7776316773568382,1.3594608996904392,-0.008471331563661866,-0.027517161054700257,10,20
181,1.5794547218882726,-0.10092066921832259,0.8823787905272528,-0.005693958844407043,-0.09820718125027472,10,21
182,2.2638851013731904,-1.8909598845518911,-0.13378778662679316,-0.013040678527214578,-0.24877421045009906,10,22
183,-0.1579454721888275,-2.439022533269582,1.0446831429569046,-0.015290049722133103,-0.07415828540883107,10,23
